ID,IV1,IV2,IV3,IV4,Participante
25,Botellas,Alta,Text,QL,1
19,VIH,Alta,Pict,QL,1
24,Spam,Baja,Pict,QL,1
30,Cancer,Baja,Text,QL,1
9,Botellas,Alta,Text,QT,2
15,VIH,Baja,Text,QT,2
4,Spam,Alta,Pict,QL,2
6,Cancer,Baja,Pict,QL,2
20,Spam,Alta,Pict,QL,3
21,Botellas,Baja,Pict,QL,3
27,VIH,Alta,Text,QL,3
30,Cancer,Baja,Text,QL,3
4,Spam,Alta,Pict,QT,4
13,Botellas,Baja,Text,QT,4
7,VIH,Baja,Pict,QT,4
10,Cancer,Alta,Text,QT,4
20,Spam,Alta,Pict,QL,5
31,VIH,Baja,Text,QL,5
22,Cancer,Baja,Pict,QL,5
25,Botellas,Alta,Text,QL,5
3,VIH,Alta,Pict,QT,6
9,Botellas,Alta,Text,QT,6
6,Cancer,Baja,Pict,QT,6
16,Spam,Baja,Text,QT,6
18,Cancer,Alta,Pict,QL,7
31,VIH,Baja,Text,QL,7
25,Botellas,Alta,Text,QL,7
24,Spam,Baja,Pict,QL,7
13,Botellas,Baja,Text,QT,8
4,Spam,Alta,Pict,QT,8
6,Cancer,Baja,Pict,QT,8
11,VIH,Alta,Text,QT,8
18,Cancer,Alta,Pict,QL,9
28,Spam,Alta,Text,QL,9
29,Botellas,Baja,Text,QL,9
23,VIH,Baja,Pict,QL,9
1,Botellas,Alta,Pict,QT,10
16,Spam,Baja,Text,QT,10
11,VIH,Alta,Text,QT,10
6,Cancer,Baja,Pict,QT,10
19,VIH,Alta,Pict,QL,11
29,Botellas,Baja,Text,QL,11
28,Spam,Alta,Text,QL,11
22,Cancer,Baja,Pict,QL,11
2,Cancer,Alta,Pict,QT,12
12,Spam,Alta,Text,QT,12
5,Botellas,Baja,Pict,QT,12
15,VIH,Baja,Text,QT,12
27,VIH,Alta,Text,QL,13
30,Cancer,Baja,Text,QL,13
17,Botellas,Alta,Pict,QL,13
24,Spam,Baja,Pict,QL,13
8,Spam,Baja,Pict,QT,14
14,Cancer,Baja,Text,QT,14
1,Botellas,Alta,Pict,QT,14
11,VIH,Alta,Text,QT,14
21,Botellas,Baja,Pict,QL,15
20,Spam,Alta,Pict,QL,15
31,VIH,Baja,Text,QL,15
26,Cancer,Alta,Text,QL,15
4,Spam,Alta,Pict,QT,16
7,VIH,Baja,Pict,QT,16
13,Botellas,Baja,Text,QT,16
10,Cancer,Alta,Text,QT,16
