ID,IV1,IV2,IV3,IV4,Participante
7,VIH,Baja,Pict,QT,1
9,Botellas,Alta,Text,QT,1
4,Spam,Alta,Pict,QT,1
14,Cancer,Baja,Text,QT,1
12,Spam,Alta,Text,QT,2
15,VIH,Baja,Text,QT,2
1,Botellas,Alta,Pict,QT,2
6,Cancer,Baja,Pict,QT,2
13,Botellas,Baja,Text,QT,3
2,Cancer,Alta,Pict,QT,3
11,VIH,Alta,Text,QT,3
8,Spam,Baja,Pict,QT,3
13,Botellas,Baja,Text,QT,4
7,VIH,Baja,Pict,QT,4
4,Spam,Alta,Pict,QT,4
10,Cancer,Alta,Text,QT,4
1,Botellas,Alta,Pict,QT,5
14,Cancer,Baja,Text,QT,5
11,VIH,Alta,Text,QT,5
8,Spam,Baja,Pict,QT,5
2,Cancer,Alta,Pict,QT,6
15,VIH,Baja,Text,QT,6
8,Spam,Baja,Pict,QT,6
9,Botellas,Alta,Text,QT,6
6,Cancer,Baja,Pict,QT,7
3,VIH,Alta,Pict,QT,7
16,Spam,Baja,Text,QT,7
9,Botellas,Alta,Text,QT,7
3,VIH,Alta,Pict,QT,8
6,Cancer,Baja,Pict,QT,8
12,Spam,Alta,Text,QT,8
13,Botellas,Baja,Text,QT,8
10,Cancer,Alta,Text,QT,9
15,VIH,Baja,Text,QT,9
5,Botellas,Baja,Pict,QT,9
4,Spam,Alta,Pict,QT,9
5,Botellas,Baja,Pict,QT,10
12,Spam,Alta,Text,QT,10
14,Cancer,Baja,Text,QT,10
3,VIH,Alta,Pict,QT,10
16,Spam,Baja,Text,QT,11
11,VIH,Alta,Text,QT,11
6,Cancer,Baja,Pict,QT,11
1,Botellas,Alta,Pict,QT,11
2,Cancer,Alta,Pict,QT,12
12,Spam,Alta,Text,QT,12
13,Botellas,Baja,Text,QT,12
7,VIH,Baja,Pict,QT,12
5,Botellas,Baja,Pict,QT,13
15,VIH,Baja,Text,QT,13
10,Cancer,Alta,Text,QT,13
4,Spam,Alta,Pict,QT,13
16,Spam,Baja,Text,QT,14
7,VIH,Baja,Pict,QT,14
2,Cancer,Alta,Pict,QT,14
9,Botellas,Alta,Text,QT,14
1,Botellas,Alta,Pict,QT,15
6,Cancer,Baja,Pict,QT,15
16,Spam,Baja,Text,QT,15
11,VIH,Alta,Text,QT,15
3,VIH,Alta,Pict,QT,16
14,Cancer,Baja,Text,QT,16
