ID,IV1,IV2,IV3,IV4,Participante
12,Spam,Alta,Text,QT,1
15,VIH,Baja,Text,QT,1
2,Cancer,Alta,Pict,QT,1
5,Botellas,Baja,Pict,QT,1
26,Cancer,Alta,Text,QL,2
21,Botellas,Baja,Pict,QL,2
32,Spam,Baja,Text,QL,2
19,VIH,Alta,Pict,QL,2
2,Cancer,Alta,Pict,QT,3
7,VIH,Baja,Pict,QT,3
9,Botellas,Alta,Text,QT,3
16,Spam,Baja,Text,QT,3
17,Botellas,Alta,Pict,QL,4
27,VIH,Alta,Text,QL,4
32,Spam,Baja,Text,QL,4
22,Cancer,Baja,Pict,QL,4
5,Botellas,Baja,Pict,QT,5
16,Spam,Baja,Text,QT,5
10,Cancer,Alta,Text,QT,5
3,VIH,Alta,Pict,QT,5
20,Spam,Alta,Pict,QL,6
21,Botellas,Baja,Pict,QL,6
26,Cancer,Alta,Text,QL,6
31,VIH,Baja,Text,QL,6
12,Spam,Alta,Text,QT,7
5,Botellas,Baja,Pict,QT,7
3,VIH,Alta,Pict,QT,7
14,Cancer,Baja,Text,QT,7
23,VIH,Baja,Pict,QL,8
26,Cancer,Alta,Text,QL,8
32,Spam,Baja,Text,QL,8
17,Botellas,Alta,Pict,QL,8
11,VIH,Alta,Text,QT,9
14,Cancer,Baja,Text,QT,9
1,Botellas,Alta,Pict,QT,9
8,Spam,Baja,Pict,QT,9
26,Cancer,Alta,Text,QL,10
29,Botellas,Baja,Text,QL,10
20,Spam,Alta,Pict,QL,10
23,VIH,Baja,Pict,QL,10
8,Spam,Baja,Pict,QT,11
15,VIH,Baja,Text,QT,11
1,Botellas,Alta,Pict,QT,11
10,Cancer,Alta,Text,QT,11
19,VIH,Alta,Pict,QL,12
30,Cancer,Baja,Text,QL,12
25,Botellas,Alta,Text,QL,12
24,Spam,Baja,Pict,QL,12
7,VIH,Baja,Pict,QT,13
13,Botellas,Baja,Text,QT,13
2,Cancer,Alta,Pict,QT,13
12,Spam,Alta,Text,QT,13
18,Cancer,Alta,Pict,QL,14
29,Botellas,Baja,Text,QL,14
23,VIH,Baja,Pict,QL,14
28,Spam,Alta,Text,QL,14
3,VIH,Alta,Pict,QT,15
6,Cancer,Baja,Pict,QT,15
16,Spam,Baja,Text,QT,15
9,Botellas,Alta,Text,QT,15
27,VIH,Alta,Text,QL,16
22,Cancer,Baja,Pict,QL,16
17,Botellas,Alta,Pict,QL,16
32,Spam,Baja,Text,QL,16
8,Spam,Baja,Pict,QT,17
13,Botellas,Baja,Text,QT,17
2,Cancer,Alta,Pict,QT,17
11,VIH,Alta,Text,QT,17
25,Botellas,Alta,Text,QL,18
31,VIH,Baja,Text,QL,18
24,Spam,Baja,Pict,QL,18
18,Cancer,Alta,Pict,QL,18
1,Botellas,Alta,Pict,QT,19
16,Spam,Baja,Text,QT,19
11,VIH,Alta,Text,QT,19
6,Cancer,Baja,Pict,QT,19
22,Cancer,Baja,Pict,QL,20
27,VIH,Alta,Text,QL,20
17,Botellas,Alta,Pict,QL,20
32,Spam,Baja,Text,QL,20
8,Spam,Baja,Pict,QT,21
2,Cancer,Alta,Pict,QT,21
15,VIH,Baja,Text,QT,21
9,Botellas,Alta,Text,QT,21
21,Botellas,Baja,Pict,QL,22
27,VIH,Alta,Text,QL,22
18,Cancer,Alta,Pict,QL,22
32,Spam,Baja,Text,QL,22
1,Botellas,Alta,Pict,QT,23
10,Cancer,Alta,Text,QT,23
7,VIH,Baja,Pict,QT,23
16,Spam,Baja,Text,QT,23
26,Cancer,Alta,Text,QL,24
24,Spam,Baja,Pict,QL,24
17,Botellas,Alta,Pict,QL,24
31,VIH,Baja,Text,QL,24
5,Botellas,Baja,Pict,QT,25
16,Spam,Baja,Text,QT,25
10,Cancer,Alta,Text,QT,25
3,VIH,Alta,Pict,QT,25
30,Cancer,Baja,Text,QL,26
28,Spam,Alta,Text,QL,26
21,Botellas,Baja,Pict,QL,26
19,VIH,Alta,Pict,QL,26
14,Cancer,Baja,Text,QT,27
9,Botellas,Alta,Text,QT,27
3,VIH,Alta,Pict,QT,27
8,Spam,Baja,Pict,QT,27
24,Spam,Baja,Pict,QL,28
26,Cancer,Alta,Text,QL,28
29,Botellas,Baja,Text,QL,28
19,VIH,Alta,Pict,QL,28
4,Spam,Alta,Pict,QT,29
10,Cancer,Alta,Text,QT,29
5,Botellas,Baja,Pict,QT,29
15,VIH,Baja,Text,QT,29
30,Cancer,Baja,Text,QL,30
